case_title,case_description,required_roles
Анализ соосности колонн в строительстве методами машинного обучения,"Контроль качества поверхности бетона, заключающийся в выявлении поверхностных дефектов бетона, оценки их влияния на несущую способность, в первую очередь по параметру - количество дефектов на квадратный метр). Данная технология также может быть использована для разработки автоматизированных комплексов контроля качества железобетонных конструкций для заводов ЖБИ","ML engineer, Python Backend, DevOps, Аналитик, Тестировщик"
Задача по моделированию движения роботов погрузчиков,"Разработать модуль управления складскими роботами (например на базе движка Uniti).
Складские вилочные погрузчики перемещаются по складу по заданной карте (по нарисованным дорогам). В системе есть информация о том, какой робот из какой точки в какую должен переместить тот или иной груз, а также есть местоположение всех роботов в каждый момент времени. 


*Необходимо разработать модуль на базе искусственного интеллекта, который будет:*

1. определять, каким маршрутом робот должен идти в точку 
2. ""говорить"" каждому роботу, в какую промежуточную точку ему необходимо перемещаться для того, чтобы достичь заданной цели 
3. определять, кто, где, кого пропускает (+ давать роботам команду на ожидание)
4. не допускать блокировки роботами друг друга
5. с учетом возникающих проблем\ситуации переопределять маршруты и указания для роботов

Целью данного модуля является подбор оптимальной стратегии, которая позволит самым быстрым образом добраться всем роботам до конечных точек.


Конечным результатом будет являться написанный модуль на языке GO или NodeJS, в рамках которого будут передаваться задания для движения роботов. Выходом является маршрутизация.
","Go Backend, ML engineer, DevOps, Тестировщик, Аналитик"
Разработка программного обеспечения для проектирования тяжелого бпла аэродинамической схемы «утка»,"цель - автоматизировать проектирование в первом приближении ЛА по аэродинамической схеме утка и силовой схеме тяни-толкай
 
задачи:
1. Разработка блок-схемы проекта
2. Разработка блок-схем расчетных частей проекта
3. Разработка блок-схем графических частей
4. Запись каждой блок-схемы в виде строк кода
5. Формирование полноценного ПО","Инженер БПЛА, Python Backend, Дизайнер, ML engineer, Аналитик"
Генеративные нейронные сети для обработки спутниковых снимков,Применение Visual ChatGPT для обработки спутниковых снимков для задач классификации и сегментации объектов.,"ML engineer, Python Backend, CV engineer, Дизайнер, Аналитик"
Обработка текстовых данных на основы ИИ для выявления интернационализированных интернет идентификаторов и их преобразования в гиперссылки,"**Конечный пользователь:** Разработчики программного обеспечения

**Тип проекта:** Программная библиотека

**Задачи проекта:**

- [ ] Разработать алгоритм на основе машинного обучения, определяющий в массиве текстовой информации доменные имена, URL, адреса электронной почты, каналы мессенджеров, никнеймы, телефоны и т.д. и преобразующий их в гиперссылки. Предложить максимально полный набор идентификаторов для преобразования;
- [ ] Алгоритм должен учитывать языковое многообразие как самого текста, так и потенциальных гиперссылок;
- [ ] Алгоритм должен учитывать возможность опечаток при написании текста, например, склейку строк, опечатки, связанные с расположением символов в клавиатурных раскладках, популярные грамматические ошибки и т.д. 
- [ ] Постараться учесть максимальное число распространенных в тексте опечаток и ошибок.

**Результат проекта:**
Программная библиотека, позволяющая подавать на вход массивы текста и получать на выходе обработанный текст с гиперссылками.

**Ограничения и допущения:**
Обязательными для обработки являются наборы символов из таблиц Unicode для языковых скриптов латиницы и кириллицы. Дополнительные скрипты – по желанию.

**Необходимые ресурсы для выполнения проекта:**
Стандартный инструментарий разработчика ПО

**Пререквизиты проекта** (компетенции участников команды): Навыки разработчика ПО, программирования, умение выбрать подходящую среду разработки, навыки работы с созданием и обучением ML-алгоритмов.

**Дополнительная информация:**
https://поддерживаю.рф/участникам/документация/ 

**Пример** (входные данные + результат):

1. «Заявку просьба отправить на почту инфо@поддерживаю.рф» – в этом примере почтовый адрес инфо@поддерживаю.рф должен быть преобразован в гиперссылку;
2. «Я вас абсолютно поддерживаю.РФ великая держава» – в этом примере алгоритм должен определить, что произошла ошибка отсутствия пробела перед «РФ» не делать преобразования в гиперссылку;
3. «Поддерживаю. РФ – проект развития инфраструктуры кириллических доменов и почтовых адресов» – в этом примере алгоритм должен определить, что перед РФ появился ошибочный пробел, должен произвести склейку и преобразовать в гиперссылку;
4. «Мой телеграм канал, где множество info @podderzhivayu_rf» – в этом примере алгоритм должен определить, что гиперссылку нужно сделать на телеграм канал @podderzhivayu_rf, а не произвести склейку с info и сделать адрес электронной почты;
5. «Перейдите на сайт https://www.cctld.rus» – в этом примере алгоритм должен определить, что такого доменного имени не существует и не делать URL гиперссылкой. Однако для популярных доменных имен верхнего уровня децентрализованной доменной адресации можно создавать соответствующие среде их обработки в гиперссылки (пример .onion).
6. и т.д.","ML engineer, Python Backend, DevOps, Тестировщик, Аналитик"
Разработка автоматизированной системы распознавания образов и ориентации подвижной платформы на цель,"Идея: сделать турель, защищающую область подоконника или кухонного стола от котов, обнаруживая их машинным зрением и отстреливая из водного пистолета. ","ML engineer, CV engineer, Python Backend, DevOps, Тестировщик"
Программно-аппаратный комплекс слежения за динамическим объектом,"Система слежения структурно представляет из себя камеру, закрепленную на приводной системе, управляемой в двух каналах. Изображение с камеры выводится на монитор, на котором оператор выделяет область, в которой находится целевой объект. С помощью алгоритмов машинного зрения определяются границы объекта в выделенной области. Далее при перемещении объекта в кадре на приводную систему выдаются сигналы управления, полученные исходя из информации об изменении координат пикселей, относящихся к объекту, находящемуся в кадре. Таким образом происходит визуальное сопровождение выбранного оператором объекта.","ML engineer, CV engineer, Python Backend, DevOps, Тестировщик"
Карта нефтяных загрязнений,Определение нефтяных загрязнений на поверхности морей РФ (Черное и Азовское) по данным снимков ДЗЗ.,"ML engineer, Python Backend, Аналитик, Дизайнер, Тестировщик"
Создание виртуального персонажа для соц.сетей с помощью генеративного ИИ,"Создаём телеграм-канал/вк аккаунт для виртуальной студентки МАИ с помощью консистентной генерации фотографий и текстов.
https://twitter.com/chaseleantj/status/1692155286306668840","Дизайнер, ML engineer, Python Backend, Тестировщик, Аналитик"
Моделирование производства продукции с учетом доступности компонентов,"В данном кейсе необходимо создать математическую модель поиска оптимального решения с учетом следующих требований:
1. Модель должна учитывать возможность ее последующей реализации программными методами
2. Модель должна масштабироваться с учетом добавления новых типов продуктов (для каждого продукта будет указан приоритет).

**Бизнес-задача**

- [ ] С целью сокращения остатков деталей, хранимых на складе, произвести из имеющихся различных составных частей максимальное количество продукции (1 тип продукта).
- [ ] Закупить минимально необходимое количество составных частей для достижения целевого уровня производства продукции с учетом п.1.

**Результат** 

Программное обеспечение, реализованное на платформе Linux | SQL | Python (etc...), web-based, с интерфейсом пользователя
","ML engineer, Python Backend, Аналитик, Дизайнер, DevOps"
Загрязнение Каспия,"Изучение нефтяного загрязнения Каспия в результате добычи и транспортировки углеводородов по данным ДЗЗ.
","Аналитик, Дизайнер, ML engineer, Python Backend, Тестировщик"
Разработка программного обеспечения для управления аппаратом вспомогательного кровообращения (АВК) в обход левого желудочка,"Разработка программного обеспечения для управления аппаратом вспомогательного кровообращения (АВК) в обход левого желудочка;
Цели: разработать модель АВК в обход левого желудочка (на языке C#) и изучить поставленные вопросы;
Задачи:
1. Изучение проблемы управления АВК
2. Подбор управления для ротора насоса АВК
3. Обеспечить устойчивую работу осевого АВК на активных магнитных подшипниках","C# Backend, ML engineer, Аналитик, Тестировщик, Дизайнер"
Портирование нейронных сетей компьютерного зрения на бортовые вычислительные комплексы БПЛА,"В рамках данного кейса предлагается разработать модель способную в полной мере функционировать на бортовом вычислителе с целью детекции объектов. В настоящее время сфера применения БПЛА растет с каждым днем, в рамках данной работы можно разработать прототип продукта востребованного на современном рынке.","ML engineer, CV engineer, ML Ops Engineer, Python Backend, DevOps"
Применение машинного зрения в лазерной SLM технологии,"
Задача: создание программы, позволяющая исправлять угловые и сферические дисторсии при применении видеокамер для технологии SLM.","ML engineer, CV engineer, Python Backend, DevOps, Тестировщик"
Разработка приложения для проектирования модели ракеты,"Модель ракеты представляет собой небольшую самодельною ракету с твердотопливным двигателем, взлетающую на стони метров (реже - на несколько километров) и совершающую мягкую посадку (чаще всего на парашюте).
В результате этого кейса должна быть разработана программа, в которой пользователь может задать параметры ракеты и провести симуляцию ее полета. 
Математическая модель ракеты включает в себя:
Геометрию ракеты (диаметр, длинна, форма обтекателя, форма стабилизаторов и их количество и т. д.)
Внутренний состав ракеты
Массовые характеристики ракеты, рассчитанные из геометрии компонентов и их материала
В процессе моделирования полета должны учитываться:
Угловое положение ракеты до момента раскрытия парашюта
Аэродинамические силы
Изменение массы ракеты по мере выработки топлива
Влияние температуры на плотность воздуха
Влияние ветра
","Инженер БПЛА, ML engineer, Python Backend, Аналитик, Дизайнер"
Урбанизация больших городов,"Оценка урбанизации быстрорастущих городов РФ (Балашиха, Краснодар, Екатеренбург) методами машинного обучения по данным снимков ДЗЗ.","ML engineer, Аналитик, Python Backend, Дизайнер, DevOps"
Разработка системы ECM для авиационного двигателя,"Имеется техническая документация по авиационным двигателям различных производителей. Данные системы ECM - engine condition monitoring - параметры двигателя на входе и параметры, важные для технического обслуживания (индекс ""здоровья"" двигателя, запасы по температуре и др.). Так как зарубежные производители отключили нас от систем ECM, то компания S7 Techlab разработала собственную систему. В данном проекте вам нужно будет смоделировать авиационный двигатель на основе дифференциальных уравнений, а также обучить алгоритмы машинного обучения для прогнозирования параметров двигателей различных производителей. На основе обученных моделей необходимо выявить закономерности между входными и выходными параметрами.
У вас будет уникальная возможность поработать с реальными данными с гражданских самолетов, а по итогам работы получить решение востребованное у отечественных авиакомпаний. На сегодняшний день компания S7 единственная обладает технической базой и всеми необходимыми данными для поддержки систем ECM в отечественной авиации.","ML engineer, Python Backend, Аналитик, Дизайнер, DevOps"
"Создание моделей машинного обучения по аэрофотоснимкам для поиска самолетов, кораблей, автомобилей и прочей техники","В рамках задачи нужно на предоставленном датасете создать классификатор для 10 видов объектов: 1. Легковый автомобиль 2. Спец.техника 3. Грузовой автомобиль 4. Автобус 5. Поезд 6. Самолет 7. Вертолет 8. Маленькое судно 9. Среднее судно 10. Большое судно

Итоговое решение должно на предоставленных для тестах снимках найти и посчитать заявленные объекты. 
","ML engineer, CV engineer, Python Backend, ML Ops Engineer, Аналитик"
Вырубка леса в Арханглеьске,Оценка объемов вырубки леса в Архангельской области с использованием данных ДЗЗ.,"Аналитик, ML engineer, Python Backend, Дизайнер, Тестировщик"
Прогнозирование численности учащихся СПО с учетом экономических параметров,"Решается задача прогноза численности обучающихся в организациях, осуществляющих обр. деятельность по образовательным программам среднего профессионального образования по субъектам РФ. Используются открытые данные по численности обучающихся за прошлые года, территориальные экономические параметры региона, макроэкономические факторы.","ML engineer, Аналитик, Python Backend, Дизайнер, DevOps"
Оптимизация обслуживания скважин ,"На основании описания задачи по обслуживанию нефтяных скважин необходимо создать математическую модель поиска оптимального решения с учетом следующих требований:

•	модель должна учитывать возможность ее последующей реализации программными методами;

•	модель должна учитывать возможность поиска оптимального решения путем дробления задачи (общего набора данных) на консистентные подмножества и последовательное решение задачи на более коротких временных интервалах.
","ML engineer, Аналитик, Python Backend, DevOps, Дизайнер"
Построение вопрос-ответного чат-бота на основании технологии Retrieval-Augmented Generation,"Имея текстовую документацию, разбиваем её на фрагменты, далее в ответ на запрос пользователя ищем актуальные фрагменты, закидываем их в запрос GPT и получаем релевантный ответ. Используем фреймворк LangChain","ML engineer, Python Backend, DevOps, Аналитик, Дизайнер"
Прогноз природных катастроф в Сочи,"Прогнозирование опасных ситуаций (оползни, сели, обвалы) в районе Большого Сочи по данным ДЗЗ.","ML engineer, Python Backend, Аналитик, CV engineer, ML Ops Engineer"
"Создание моделей машинного обучения по космическим снимкам сверхвысокого пространственного разрешения для поиска самолетов, кораблей, автомобилей и прочей техники","В рамках задачи нужно на предоставленном датасете создать классификатор для 10 видов объектов: 1. Легковый автомобиль 2. Спец.техника 3. Грузовой автомобиль 4. Автобус 5. Поезд 6. Самолет 7. Вертолет 8. Маленькое судно 9. Среднее судно 10. Большое судно

Итоговое решение должно на предоставленных для тестах снимках найти и посчитать заявленные объекты. ","ML engineer, Python Backend, ML Ops Engineer, Аналитик, Дизайнер"
Классификация сельхозкультур Краснодарского края,"Классификации различных сельскохозяйственных культур (пшеница, рожь, ячмень, овес, фуражные травы, подсолнечник, соя, сахарная свекла) в Краснодарском крае на спутниковых снимках с использованием нейронных сетей и индекса NDVI.","ML engineer, Python Backend, Аналитик, Дизайнер, DevOps"
Пайплайн классификации космических снимков,Алгоритмы автоматизированной классификации космических снимков: алгоритмы попиксельной и объектно- ориентированной классификации,"ML engineer, Python Backend, Аналитик, Дизайнер, DevOps"
Классификация типа личности клиента алгоритмами машинного обучения c учетом экономических параметров контекстных данных,"Решается задача классификации на основе полученных данных о клиенте из анкет, используя алгоритмы ML. Контекстные данные клиента (место проживания клиента и т.п.) оцениваются с точки зрения экономических параметров, найденных в открытых источниках.","ML engineer, Аналитик, Дизайнер, Python Backend, Тестировщик"
Карта повреждений территорий,"Алгоритмы по распознаванию карьеров, вырубок, гарей, участков используемой пашни, участков леса с помощью технологий машинного обучения и компьютерного зрения на территории Ленинградской области","ML engineer, CV engineer, Python Backend, Аналитик, Дизайнер"
Генерация комикса для абитуриентов МАИ с консистентными персонажами на основе технологии outpainting,"С помощью одного запроса генерируем одно изображение с несколькими картинками, после чего используем zoom out / outpainting для получения большого количества вариаций изображения.
https://twitter.com/chaseleantj/status/1693246015124713634","ML engineer, Дизайнер, Frontend, Python Backend, Аналитик"
"Разработка ПО на ПК для управления панелью индикации с обратной связью (qt, C/C++, Ethernet UDP)","**Обмен eth udp**

1. Поиск собственного ip-адреса в необходимой подсети
2. Приём данных
3. Отправка данных
4. Протокол обмена

**Дизайн интерфейса**

1. Индикация обмена
2. Индикация ошибки обмена
3. Несколько кнопок с обратной связью
4. Анимация ожидания ответа","C++ Backend, Frontend, Дизайнер, Тестировщик, Аналитик"
Моделирование работы мешалок для перемешивания активного ила с водой,"**Тип проекта (сервис, продукт, модель, алгоритм и т.п.):**
Модель


**Цель проекта:**
Подбор и расстановка мешалок в сооружении биологической очистки сточной воды на основе характеристик работы устройства с целью подбора оптимальных режимов перемешивания 


**Задачи проекта:**

1. создание и распределение ролей в команде
2. выбор программы для CFD-моделирования
3. разработка геометрии
4. подбор оборудования-мешалок 
5. расстановка оборудования в модели
6. спрогнозировать картину течения жидкости и осаждения активного ила
7. определение скоростей и застойных зон в сооружении 


**Результат проекта:**
CFD-модель, позволяющая увидеть скорости, застойные зоны и как следствие подобрать тип оборудования и его количество 


**Необходимые ресурсы для выполнения проекта:**
CFD-модель, позволяющая увидеть скорости, застойные зоны и как следствие подобрать тип оборудования и его количество ","ML engineer, Аналитик, Дизайнер, Python Backend, DevOps"
Программная реализация SLAM алгоритмов с использованием только визуального канала данных с целью поиска объектов,"Кратко, задумка в следующем: в симулируемой среде с большим количеством сторонних объектов у нас будет существовать робот, в задачи которого будет входить решение задачи SLAM (возможно разными алгоритмами), а также обнаружение и отметка людей на строящейся карте. Для создания робота и среды будут задействованы ROS и Gazebo, а для видеодетекции людей - машинное обучение. Проделанная работа, теоретически, будет интересна, например, МЧС для проведения спасательных работ в разрушенных помещениях.
","ML engineer, Python Backend, DevOps, CV engineer, Тестировщик"
Применение нейронных сетей для балансировки нагрузки в веб-серверах (Nginx),"На данный момент современные веб и обратные прокси-серверы по типу Ngixn, Haproxy, Apach в том числе и продукт Сбертеха SynGX используют алгоритмы балансировки нагрузки round-robin, Least Connection, ip-hash для управления трафиков, что не является пределом эффективности для высоконагруженных систем. 
В рамках данной задачи предлагается разработать модель веб-сервера с применение нейронных сетей в качестве 'распределителя' сетевого трафика, что позволит увеличить производительность и сделает данный веб-сервер уникальным продуктом на современном рынке.","ML engineer, DevOps, Python Backend, Аналитик, Тестировщик"
Устранение видимого шума с фотографий при помощи средств машинного обучения,"Результатом работы предполагается веб-сервис, использующий разработанную студентом математическую модель для удаления шумовых дефектов с загружаемых на этот сервис изображений. 

Удаление шума - одна из самых распространенных задач компьютерного зрения, и, помимо прочего, является непосредственной частью множества других моделей - например, удаление шумов может использоваться для подготовки изображений для других моделей или для пост-обработки уже сгенерированных изображений.","ML engineer, CV engineer, Python Backend, DevOps, Тестировщик"
Медицинская информационная аналитическая система,"Эта система должна помогать врачам быстрее и удобнее вести приём клиентов, составление электронных медицинских карт и прочее.
Также с помощью ии можно создать иконки интерфейса, анализ данных клиентов.","Python Backend, ML engineer, Аналитик, Дизайнер, Тестировщик"
Автоматический анализ мнений абитуриентов в соц.сетях на основе больших языковых моделей,Используем ChatGPT для извлечения из текстовой информации структурированных данных и на основе них рисуем инфографику / делаем выводы относительно настроений абитуриентов.,"ML engineer, Python Backend, Аналитик, Дизайнер, Frontend"
Создание предсказательной модели,"**Описание задачи**

В крупной телеком компании организована дорогостоящая программа обучения с выдачей официальных дипломов ведущего ВУЗа. На программу обучения может подать заявку любой сотрудник компании независимо от региона, стажа и должности – обучение на этой программе доступно любому сотруднику.

В рамках отбора на программу проводится с помощью написания мотивационного эссе – кандидат на программу должен написать развернутый ответ на несколько вопросов. Ответы кандидатов в программу оцениваются вручную экспертами. По каждому вопросу проставляется балл по определенной шкале. За определенное время накопились данные по мотивационным эссе и поставленным оценкам (данные прилагаются).

**Задача:**
1.	На основе накопленных данных написать алгоритм, который предсказывает оценку эксперта по эссе. Рассчитать точность предсказательной модели.
2.	Создать интерфейс, который позволит пользователю загружать новые тексты эссе для обработки и получать отчет с оценками, а также предложить вариант с визуализацией отчета.
","ML engineer, Python Backend, Frontend, Аналитик, Дизайнер"
Создание рекламного ролика цифровой кафедры МАИ с помощью генеративных моделей,"Используем консистентные референсные изображения и генерацию видео (Runway Gen2). Пишем вместе сценарий с помощью LLM, затем разбиваем на фрагменты, генерируемые студентами группы.","Дизайнер, ML engineer, Python Backend, Аналитик, Тестировщик"
Мониторинг посевов в Амурской области,"Оперативный мониторинг состояния посевов и равномерности всходов ячменя, сорняков по данным спутниковых снимков в Амурской области.","ML engineer, Аналитик, Python Backend, DevOps, Дизайнер"
AI Service Scaler,"Проект ""AI Service Scaler"" направлен на разработку системы, которая с помощью искусственного интеллекта (AI) автоматизирует процесс масштабирования сервисов в Kubernetes (k8s). Этот проект предполагает использование передовых технологий для анализа и прогнозирования потребностей в ресурсах приложений, развернутых в кластерах Kubernetes, что позволяет осуществлять масштабирование более эффективно и в автоматическом режиме.

Цели проекта:
- Автоматизация масштабирования: Разработка системы, способной самостоятельно анализировать нагрузку на сервисы и на основе этих данных принимать решения о необходимости масштабирования вверх или вниз.
- Интеграция с Kubernetes: Глубокая интеграция с экосистемой Kubernetes для обеспечения совместимости и максимальной эффективности работы системы.
- Использование AI для анализа данных: Применение алгоритмов искусственного интеллекта для анализа метрик работы приложений и предсказания требований к ресурсам.
- Повышение эффективности использования ресурсов: Оптимизация расходов на инфраструктуру за счет более точного масштабирования сервисов в соответствии с их реальными потребностями.

Ключевые компоненты:
- Анализаторы состояния сервисов: Модули для мониторинга и анализа работы сервисов в реальном времени, использующие AI для выявления тенденций и паттернов в нагрузке на приложения.
- Модуль принятия решений о масштабировании: Компонент, отвечающий за принятие решений о масштабировании на основе анализа данных и предсказаний AI.
- Интерфейс взаимодействия с Kubernetes: Система будет тесно интегрирована с Kubernetes для автоматизации процесса масштабирования, используя стандартные инструменты и API Kubernetes для управления ресурсами.

Технологическая база:
Проект может опираться на существующие разработки в области интеграции AI с Kubernetes, такие как k8sgpt и Kubeflow. k8sgpt предоставляет инструменты для диагностики и анализа кластеров Kubernetes с помощью AI, включая возможности для генерации и аутентификации API ключей OpenAI и управления фильтрами анализа. Kubeflow, в свою очередь, является проектом, направленным на упрощение развертывания рабочих процессов машинного обучения на Kubernetes, обеспечивая простую, переносимую и масштабируемую платформу для ML","ML engineer, DevOps, Python Backend, Аналитик, C++ Backend"
Методы визуального осмотра строительных конструкций с применением автономных роботов и алгоритмов машинного обучения,Применение роботов как замена визуального контроля на стройке. В качестве робота используется модель Unitree A1 ИТ-Центра (робособака Дора). Для запуска алгоритмов машинного обучения применяется микрокомпьютер Jetson Xavier,"ML engineer, DevOps, Python Backend, CV engineer, Дизайнер"
Контроль перемещений строительных конструкций с применением алгоритмов машинного обучения и компьютерного зрения,"Развитие методик дистанционного контроля деформаций и
перемещений (фотограмметрия, графические метки, программы обработки
DIC-digital image correlation со стандартных источников изображений). Контроль перемещений строительных конструкций.","ML engineer, CV engineer, Python Backend, DevOps, Тестировщик"
Разработка ПО для расчета и профилирования лопатки газотурбинного двигателя,"**Цель**

Разработка программы для расчета и профилирования лопатки газотурбинного двигателя с использованием суперкомпьютера, обеспечивающей точный расчет профиля лопатки с учетом всех важных факторов, влияющих на аэродинамику.

**Бизнес-задачи**

- [ ] Разработать программное обеспечение, которое позволит точно рассчитать профиль лопатки газотурбинного двигателя с учетом всех важных факторов, влияющих на аэродинамику.
- [ ] Программное обеспечение должно быть масштабируемым и производительным, чтобы его можно было использовать на суперкомпьютерах.
- [ ] Программное обеспечение должно иметь удобный пользовательский интерфейс, позволяющий задавать параметры среды и получать результаты расчета.

**Ожидаемые результаты**

Реализация проекта позволит предприятиям, разрабатывающим газотурбинные двигатели, получать более точные расчеты профиля лопатки. Это приведет к повышению эффективности и надежности двигателей.
","Java Backend, Python Backend, Тестировщик, Дизайнер, Аналитик"
Развитие системы GlobalMonitoring в части адаптации протокола обмена данных с системой телемониторирования,"Компания АО ""Медиатек"" собирает данные с большого парка устройств сбора данных медицинской информации о состоянии здоровья пациентов. Текущая система сбора данных требует модернизации и масштабирования.

Развитие системы GlobalMonitoring в части адаптации протокола обмена данных с системой телемониторирования","Java Backend, Python Backend, DevOps, Аналитик, Тестировщик"
